Study	Involves genomics	Genomics inclusion summary	Call context	Gene	Alteration Type	Position	Has additional requirement	Gene(additional)	Alteration Type(additional)	Position(additional)	Exclusions (not consistently filled in)	Intervention	Overall status	Phase	Primary completion date	Study completion date
NCT03991832	yes	IDH1 or IDH2 mut	somatic	IDH1,IDH2	mutation,insertion,deletion,fusion	any	no					olaparib + durvalumab	Recruiting	Phase 2	March 31, 2025(E)	March 31, 2025(E)
NCT04149691	yes	alteration within FGFR1/2/or 3	somatic	FGFR1,FGFR2,FGFR3	mutation,insertion,deletion,fusion	any	no					CPL304110	Recruiting	Phase 1	June 2024(E)	June 2024(E)
NCT04353375	yes	FGFR2 fusion/rearrangement	somatic	FGFR2	insertion,deletion,fusion	any	no					HMPL-453 tartrate	Recruiting	Phase 2	June 30, 2025(E)	December 31, 2025(E)
NCT04565275	yes	FGFR gene alterations	somatic	FGFR1,FGFR2,FGFR3,FGFR4	mutation,insertion,deletion,fusion	any	no					ICP-192	Recruiting	Phase 1/Phase 2	November 30, 2023(E)	April 15, 2024(E)
NCT04087876	yes	FGFR genomic alterations	somatic	FGFR1,FGFR2,FGFR3,FGFR4	mutation,insertion,deletion,fusion	any	no					Derazantinib	Available	No data	No data	No data
NCT04100694	yes	NRG1 fusion	somatic	NRG1	fusion	any	no					MCLA-128	Available	No data	No data	No data
NCT04566393	yes	MAPK pathway-altered solid tumor(s), including but not limited to KRAS, NRAS, HRAS, BRAF, MEK, and ERK mutations	somatic	:mapk_pathway:	mutation,insertion,deletion,fusion	any	no					Ulixertinib	Available	No data	No data	No data
NCT04792463	yes	known or suggestive of hereditary BAP1 [germline]. Pathogenic, likely path. Variants in BAP1 incl those of uncertain signif.  Germline inactivation of BAP1	germline	BAP1	mutation,insertion,deletion,fusion	any	no					observational, prospective	Recruiting	No data	July 1, 2026(E)	July 1, 2026(E)
NCT05501912	yes		somatic	BRAF	mutation	V600:any:	no					ABM-1310	Recruiting	Phase 1	August 24, 2025(E)	August 24, 2025(E)
NCT05039892	yes	FGFR2 Gene Alterations, per title	somatic	FGFR2	mutation,insertion,deletion,fusion	any	no					3D185	Not yet recruiting	Phase 2	December 2025(E)	June 2026(E)
NCT05429697	yes	PD-L1 expression 1% or more;  or MSI-H, or dMMR positive (loss of MLH1, MSH2, MSH6 or PMS2)	somatic	:mm_repair:	mutation,insertion,deletion,fusion	any	no					 Pembrolizumab + allogenic  NK cells (SMT-NK)	Recruiting	Phase 2/Phase 3	January 8, 2025(E)	June 8, 2026(E)
NCT05564403	yes	have RAS/RAF/MEK/ERK pathway muts as per ComboMATCH (EAY191).  BRAF V600E ineligible	somatic	:mapk_pathway_no_BRAF:	mutation,insertion,deletion,fusion	any	no					mFOLFOX6 w/wo binimetinib	Recruiting	Phase 2	January 21, 2025(E)	January 21, 2025(E)
NCT05564403	yes		somatic	BRAF	mutation	V600:any:	no					mFOLFOX6 w/wo binimetinib	Recruiting	Phase 2	January 21, 2025(E)	January 21, 2025(E)
NCT05564403	yes		somatic	BRAF	mutation	V600E:disqualifying:	no					mFOLFOX6 w/wo binimetinib	Recruiting	Phase 2	January 21, 2025(E)	January 21, 2025(E)
